                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.66706,                0.55464,                 1.0663,                 0.9211,                0.91588,                0.95546,                0.86242,                0.55212,                0.49516,                 1.0219,                0.00703,                0.00703,                0.00703
                     63,                0.67691,                0.56603,                 1.0734,                0.89679,                0.91333,                0.94906,                0.84655,                0.56313,                0.49393,                 1.0482,              0.0069805,              0.0069805,              0.0069805
                     64,                0.66557,                0.56042,                 1.0711,                0.94971,                 0.9063,                0.96049,                0.86441,                0.53445,                0.47317,                 1.0243,               0.006931,               0.006931,               0.006931
                     65,                0.66782,                0.55748,                 1.0629,                 0.9484,                0.91188,                0.97277,                0.86393,                 0.5466,                  0.445,                 1.0223,              0.0068815,              0.0068815,              0.0068815
                     66,                0.66038,                0.55206,                 1.0672,                0.91283,                0.90002,                0.95578,                0.85952,                0.53235,                0.52975,                 1.0139,               0.006832,               0.006832,               0.006832
                     67,                0.65406,                0.54482,                 1.0676,                0.85864,                 0.9308,                0.95716,                0.85641,                0.55009,                 0.5211,                 1.0545,              0.0067825,              0.0067825,              0.0067825
                     68,                 0.6682,                0.55095,                  1.075,                0.93601,                0.89385,                0.95554,                0.85654,                0.54396,                 0.5282,                 1.0216,               0.006733,               0.006733,               0.006733
                     69,                0.63948,                0.53163,                 1.0496,                0.92953,                0.92939,                0.97172,                0.87173,                0.53627,                0.42633,                 1.0319,              0.0066835,              0.0066835,              0.0066835
                     70,                0.65358,                 0.5452,                  1.071,                0.93503,                0.92164,                0.95482,                0.85635,                0.54543,                0.45449,                 1.0346,               0.006634,               0.006634,               0.006634
                     71,                0.65606,                0.54822,                 1.0641,                0.91748,                0.91842,                0.94578,                 0.8574,                0.51382,                0.51106,                0.99483,              0.0065845,              0.0065845,              0.0065845
                     72,                0.64511,                0.53433,                 1.0637,                0.91947,                0.91872,                0.93739,                0.84076,                0.53424,                0.48877,                 1.0186,               0.006535,               0.006535,               0.006535
                     73,                0.64164,                0.53463,                  1.057,                  0.938,                 0.9144,                0.96257,                0.86895,                0.52464,                0.46454,                 1.0096,              0.0064855,              0.0064855,              0.0064855
                     74,                0.65672,                0.54387,                 1.0634,                 0.9225,                0.91278,                 0.9452,                0.84831,                0.54781,                0.52179,                 1.0227,               0.006436,               0.006436,               0.006436
                     75,                0.64351,                0.53706,                 1.0606,                0.95106,                0.92809,                0.97022,                0.87472,                0.53158,                0.40007,                 1.0559,              0.0063865,              0.0063865,              0.0063865
                     76,                0.65322,                 0.5422,                 1.0638,                0.95055,                0.92512,                0.97169,                 0.8815,                0.51705,                0.41407,                 1.0153,               0.006337,               0.006337,               0.006337
                     77,                 0.6416,                0.52695,                  1.068,                0.93235,                0.92623,                 0.9594,                0.86803,                0.52532,                0.45829,                 1.0108,              0.0062875,              0.0062875,              0.0062875
                     78,                0.64394,                0.53463,                 1.0594,                0.92472,                0.92801,                0.95156,                0.85705,                0.54086,                0.47701,                  1.025,               0.006238,               0.006238,               0.006238
                     79,                0.64033,                0.52873,                 1.0568,                0.92789,                0.90199,                0.93889,                0.84757,                0.54324,                 0.5084,                 1.0295,              0.0061885,              0.0061885,              0.0061885
                     80,                0.62968,                0.51317,                 1.0472,                0.94205,                0.93129,                0.97528,                0.87553,                0.52335,                0.40582,                 1.0115,               0.006139,               0.006139,               0.006139
                     81,                0.62016,                0.50746,                 1.0467,                0.93899,                0.92943,                0.96781,                0.87352,                0.52292,                0.41456,                 1.0092,              0.0060895,              0.0060895,              0.0060895
                     82,                0.63558,                0.51078,                 1.0539,                0.91399,                0.91884,                 0.9468,                0.86185,                0.52081,                0.48777,                 1.0104,                0.00604,                0.00604,                0.00604
                     83,                0.63789,                0.50673,                 1.0601,                0.91752,                0.91169,                0.93484,                0.84709,                0.52778,                 0.4833,                 1.0258,              0.0059905,              0.0059905,              0.0059905
                     84,                0.65168,                0.52834,                 1.0709,                0.91735,                0.92932,                 0.9609,                0.86766,                0.52331,                0.45083,                 1.0178,               0.005941,               0.005941,               0.005941
                     85,                0.62534,                0.51648,                 1.0488,                0.90756,                0.91805,                0.95022,                 0.8548,                 0.5258,                0.50911,                  1.025,              0.0058915,              0.0058915,              0.0058915
                     86,                0.63096,                0.51238,                  1.056,                0.91891,                0.94081,                0.95722,                0.87304,                0.51718,                0.44108,                 1.0153,               0.005842,               0.005842,               0.005842
                     87,                0.63471,                0.51884,                  1.057,                 0.9115,                0.92727,                0.94458,                0.85953,                0.52964,                 0.4622,                 1.0327,              0.0057925,              0.0057925,              0.0057925
                     88,                0.63764,                0.51817,                 1.0612,                0.91194,                0.92588,                0.95448,                0.85986,                 0.5228,                0.47379,                 1.0117,               0.005743,               0.005743,               0.005743
                     89,                 0.6222,                0.50725,                 1.0421,                0.93708,                0.92745,                0.96011,                0.86641,                0.52077,                0.42742,                 1.0164,              0.0056935,              0.0056935,              0.0056935
                     90,                0.62999,                0.50491,                 1.0582,                0.93291,                0.94701,                0.97043,                0.88468,                0.50056,                0.37098,                 0.9863,               0.005644,               0.005644,               0.005644
                     91,                0.62271,                 0.5057,                 1.0469,                0.94309,                 0.8945,                0.95088,                0.86454,                0.48946,                0.51192,                0.99796,              0.0055945,              0.0055945,              0.0055945
                     92,                0.60889,                0.49305,                 1.0426,                0.93556,                0.92508,                0.96141,                0.86662,                0.51206,                 0.4276,                 1.0184,               0.005545,               0.005545,               0.005545
                     93,                0.61877,                0.49275,                 1.0467,                0.92562,                  0.911,                0.93428,                0.84691,                0.51483,                0.48168,                 1.0079,              0.0054955,              0.0054955,              0.0054955
                     94,                0.61791,                0.49537,                 1.0412,                0.86792,                0.93649,                0.94869,                0.85708,                0.52042,                0.48435,                 1.0453,               0.005446,               0.005446,               0.005446
                     95,                0.62961,                0.51102,                 1.0563,                0.92319,                0.90358,                0.94725,                 0.8599,                0.51276,                0.50597,                 1.0024,              0.0053965,              0.0053965,              0.0053965
                     96,                0.61732,                0.50052,                 1.0469,                0.94615,                0.91973,                0.96013,                0.87449,                0.50276,                0.41894,                 1.0032,               0.005347,               0.005347,               0.005347
                     97,                0.60377,                0.48951,                 1.0343,                0.93947,                0.92614,                0.96387,                0.87712,                0.49356,                 0.3965,                0.99285,              0.0052975,              0.0052975,              0.0052975
                     98,                0.59954,                0.49061,                 1.0329,                 0.9336,                0.90038,                 0.9498,                 0.8679,                0.50122,                0.47026,                 1.0183,               0.005248,               0.005248,               0.005248
                     99,                 0.6046,                0.47823,                 1.0359,                  0.914,                0.93909,                0.95933,                0.87691,                0.49024,                0.40645,                 1.0005,              0.0051985,              0.0051985,              0.0051985
                    100,                0.60119,                0.48191,                 1.0389,                0.92641,                0.89775,                0.94781,                0.86935,                0.48865,                0.50875,                 1.0034,               0.005149,               0.005149,               0.005149
                    101,                0.60306,                0.48311,                 1.0335,                0.92372,                0.90542,                0.94042,                0.86061,                0.48957,                 0.5089,                0.99004,              0.0050995,              0.0050995,              0.0050995
                    102,                0.58545,                0.47736,                 1.0335,                0.91581,                0.90752,                0.94295,                0.86595,                 0.4849,                0.51061,                0.99371,                0.00505,                0.00505,                0.00505
                    103,                0.59888,                 0.4875,                 1.0332,                0.93351,                0.90264,                0.92979,                0.86027,                0.48296,                0.50545,                0.98223,              0.0050005,              0.0050005,              0.0050005
                    104,                0.60626,                0.48722,                 1.0425,                 0.9512,                0.92348,                 0.9689,                0.88151,                0.49727,                 0.4053,                 1.0004,               0.004951,               0.004951,               0.004951
                    105,                0.59397,                 0.4815,                 1.0341,                0.91366,                0.92145,                0.96613,                0.87844,                0.50117,                0.44411,                 1.0087,              0.0049015,              0.0049015,              0.0049015
                    106,                0.57947,                0.46969,                 1.0258,                 0.9198,                0.91778,                0.96301,                0.87716,                0.49751,                 0.4427,                  1.004,               0.004852,               0.004852,               0.004852
                    107,                0.60223,                0.47596,                 1.0409,                0.93737,                0.92647,                0.96936,                0.88359,                0.48965,                0.41651,                0.98305,              0.0048025,              0.0048025,              0.0048025
                    108,                0.59138,                0.46263,                 1.0298,                0.91782,                 0.9316,                0.95998,                0.87778,                0.48684,                0.43107,                0.98868,               0.004753,               0.004753,               0.004753
                    109,                0.58286,                0.46309,                  1.028,                0.93521,                0.92625,                0.96622,                0.87914,                0.49533,                0.42917,                 1.0009,              0.0047035,              0.0047035,              0.0047035
                    110,                0.59275,                0.48312,                 1.0348,                0.92175,                0.92159,                0.96163,                0.86916,                0.50946,                0.45901,                 1.0274,               0.004654,               0.004654,               0.004654
                    111,                0.59911,                0.47867,                 1.0387,                0.94036,                0.89343,                0.95418,                0.87053,                0.49387,                0.50598,                 1.0016,              0.0046045,              0.0046045,              0.0046045
                    112,                0.58585,                0.46612,                 1.0353,                0.92316,                0.92221,                0.95326,                0.86645,                0.49467,                0.43726,                 1.0055,               0.004555,               0.004555,               0.004555
                    113,                0.59318,                0.47423,                 1.0349,                0.92182,                0.90772,                0.95163,                0.87486,                0.47791,                0.48023,                0.98371,              0.0045055,              0.0045055,              0.0045055
                    114,                0.59107,                0.47436,                 1.0319,                0.90766,                0.90943,                0.95033,                0.86947,                0.48437,                0.51822,                0.99092,               0.004456,               0.004456,               0.004456
                    115,                0.58516,                0.47419,                 1.0324,                0.92769,                0.90011,                0.95029,                0.87146,                0.49328,                0.51599,                 1.0016,              0.0044065,              0.0044065,              0.0044065
                    116,                0.58085,                0.45938,                 1.0235,                 0.9126,                0.91761,                0.95404,                0.87011,                 0.4949,                0.48384,                 1.0035,               0.004357,               0.004357,               0.004357
                    117,                0.58126,                0.46926,                 1.0324,                0.91429,                 0.9293,                0.95994,                  0.883,                0.47742,                 0.4227,                0.97446,              0.0043075,              0.0043075,              0.0043075
                    118,                0.57316,                0.45714,                 1.0259,                0.94212,                0.91191,                0.96542,                0.88823,                 0.4782,                0.42422,                0.97645,               0.004258,               0.004258,               0.004258
                    119,                0.57513,                0.45848,                 1.0236,                0.93647,                0.91913,                0.95528,                0.87899,                0.47266,                0.42811,                 0.9688,              0.0042085,              0.0042085,              0.0042085
                    120,                0.57404,                0.45323,                 1.0248,                0.93894,                0.91147,                0.95768,                0.87153,                0.49229,                0.44887,                0.98724,               0.004159,               0.004159,               0.004159
                    121,                0.57634,                0.45985,                  1.029,                0.93699,                 0.9187,                0.96182,                0.87913,                0.49221,                0.40437,                0.99035,              0.0041095,              0.0041095,              0.0041095
                    122,                0.56406,                0.45021,                 1.0161,                0.93937,                0.92608,                0.96642,                0.87822,                0.50106,                 0.4223,                0.99597,                0.00406,                0.00406,                0.00406
                    123,                0.58307,                0.46943,                  1.034,                0.94148,                0.91874,                 0.9651,                0.87798,                0.48844,                0.41563,                0.99148,              0.0040105,              0.0040105,              0.0040105
                    124,                0.57281,                 0.4568,                 1.0253,                0.89243,                0.94772,                0.97573,                0.88734,                 0.4932,                0.41765,                0.98905,               0.003961,               0.003961,               0.003961
                    125,                 0.5556,                0.44346,                 1.0148,                0.90721,                0.92181,                0.96449,                0.88395,                0.48115,                0.43731,                0.98258,              0.0039115,              0.0039115,              0.0039115
                    126,                 0.5768,                0.45196,                 1.0257,                0.93933,                0.92843,                0.96893,                0.88842,                0.47761,                0.38414,                0.98302,               0.003862,               0.003862,               0.003862
                    127,                0.56639,                0.44337,                 1.0213,                0.94492,                0.93422,                0.96528,                0.88909,                0.44923,                0.37203,                 0.9614,              0.0038125,              0.0038125,              0.0038125
                    128,                 0.5635,                0.44551,                 1.0164,                0.91761,                0.92526,                0.95664,                0.87699,                 0.4622,                0.42814,                0.96255,               0.003763,               0.003763,               0.003763
                    129,                0.57459,                0.44457,                 1.0306,                 0.9443,                0.91756,                0.96136,                0.88395,                0.46752,                0.40085,                0.96319,              0.0037135,              0.0037135,              0.0037135
                    130,                0.56521,                 0.4372,                 1.0232,                0.94965,                0.92341,                0.97278,                0.89399,                0.45596,                 0.3774,                0.97383,               0.003664,               0.003664,               0.003664
                    131,                0.55795,                0.43641,                 1.0105,                0.91848,                0.92101,                0.96561,                0.88462,                0.45963,                0.42256,                0.96826,              0.0036145,              0.0036145,              0.0036145
                    132,                0.55119,                0.42966,                 1.0153,                0.90841,                0.92668,                0.96894,                0.88274,                0.47848,                0.44331,                0.98496,               0.003565,               0.003565,               0.003565
                    133,                0.56334,                0.44155,                 1.0182,                0.90385,                0.91384,                0.96128,                0.87381,                0.50092,                  0.456,                 1.0091,              0.0035155,              0.0035155,              0.0035155
                    134,                0.54332,                0.43602,                 1.0025,                0.93048,                0.91492,                0.95524,                0.87244,                 0.4785,                0.42517,                0.98493,               0.003466,               0.003466,               0.003466
                    135,                0.55124,                0.43861,                 1.0169,                 0.8855,                0.92851,                0.95484,                0.87225,                0.47773,                 0.4587,                0.98693,              0.0034165,              0.0034165,              0.0034165
                    136,                0.54939,                0.43472,                 1.0029,                0.92601,                0.92504,                0.96477,                0.88336,                0.47371,                0.40914,                0.97526,               0.003367,               0.003367,               0.003367
                    137,                 0.5562,                0.43088,                  1.011,                0.88205,                0.92684,                0.96488,                0.88917,                0.46438,                0.43248,                0.97247,              0.0033175,              0.0033175,              0.0033175
                    138,                 0.5507,                0.44187,                 1.0156,                0.94687,                0.93838,                0.96905,                0.88967,                0.45981,                0.36483,                0.96807,               0.003268,               0.003268,               0.003268
                    139,                0.56243,                 0.4457,                 1.0202,                0.93931,                0.92202,                0.95856,                0.88139,                0.47072,                0.39506,                0.97476,              0.0032185,              0.0032185,              0.0032185
                    140,                0.54744,                0.42767,                 1.0066,                0.94052,                0.91559,                0.96609,                0.89605,                0.45394,                 0.3959,                0.95622,               0.003169,               0.003169,               0.003169
                    141,                 0.5512,                0.43383,                 1.0175,                0.90851,                0.92547,                0.96537,                 0.8917,                0.45815,                0.43132,                0.96256,              0.0031195,              0.0031195,              0.0031195
